image_path,web_page,url
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_48.jpg,https://www.flickr.com/,https://live.staticflickr.com/2887/10890046315_39e268b2ff_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_49.jpg,https://www.flickr.com/,https://live.staticflickr.com/2461/4081494168_0ff263d171_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_51.jpg,https://www.flickr.com/,https://live.staticflickr.com/6146/6001928392_25d0ae732f_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_52.jpg,https://www.flickr.com/,https://live.staticflickr.com/83/205679622_5e02fb614e_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_55.jpg,https://www.flickr.com/,https://live.staticflickr.com/5761/23591757872_2c5384f127_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_57.jpg,https://www.flickr.com/,https://live.staticflickr.com/7415/14093100531_9c94bd1e35_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_58.jpg,https://www.flickr.com/,https://live.staticflickr.com/696/22690161515_20911ba4ce_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_60.jpg,https://www.flickr.com/,https://live.staticflickr.com/4211/35442670565_9970c8bc99_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_61.jpg,https://www.flickr.com/,https://live.staticflickr.com/2099/2443765027_b152791fd7_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_62.jpg,https://www.flickr.com/,https://live.staticflickr.com/4438/36808531592_8d2cdaa90d_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_63.jpg,https://www.flickr.com/,https://live.staticflickr.com/1789/43522516272_a067ee95a9_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_65.jpg,https://www.flickr.com/,https://live.staticflickr.com/4273/35115252515_0deee4ea00_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_66.jpg,https://www.flickr.com/,https://live.staticflickr.com/2926/13950229806_7012e2d85b_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_67.jpg,https://www.flickr.com/,https://live.staticflickr.com/3349/3332694523_e3dcc5a814_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_68.jpg,https://www.flickr.com/,https://live.staticflickr.com/8380/8674598388_682926a2b5_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_69.jpg,https://www.flickr.com/,https://live.staticflickr.com/3836/15047224039_7ea67266e8_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_72.jpg,https://www.flickr.com/,https://live.staticflickr.com/3174/2491895479_26ee31b57c_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_73.jpg,https://www.flickr.com/,https://live.staticflickr.com/4568/37685014685_ac467a9846_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_74.jpg,https://www.flickr.com/,https://live.staticflickr.com/3174/3062927482_31b7258ddf_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_75.jpg,https://www.flickr.com/,https://live.staticflickr.com/7860/46272544155_11fe2fb1de_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_76.jpg,https://www.flickr.com/,https://live.staticflickr.com/6236/6319047649_3499b1444b_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_77.jpg,https://www.flickr.com/,https://live.staticflickr.com/1470/23812882444_04a59bd15c_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_78.jpg,https://www.flickr.com/,https://live.staticflickr.com/3140/2541750352_11f287124d_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_79.jpg,https://www.flickr.com/,https://live.staticflickr.com/7683/17110246828_1a705a3572_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_80.jpg,https://www.flickr.com/,https://live.staticflickr.com/81/253764893_7dc09d517e_c.jpg
/study/Ruturaj/Research work/AI_face_recognition/crawling/images/img_82.jpg,https://www.flickr.com/,https://live.staticflickr.com/2022/2119158147_8938b9494c_c.jpg
